exit_n,time,run
0,1.674999999999998,0
1,2.6249999999999947,0
2,3.0249999999999932,0
3,3.2749999999999924,0
4,3.674999999999991,0
5,4.174999999999992,0
6,4.274999999999993,0
7,4.800000000000001,0
8,4.975000000000003,0
9,5.45000000000001,0
10,5.750000000000014,0
11,5.975000000000017,0
12,6.500000000000025,0
13,6.550000000000026,0
14,6.775000000000029,0
15,7.375000000000037,0
16,7.475000000000039,0
17,8.075000000000047,0
18,8.100000000000048,0
19,8.725000000000056,0
20,8.775000000000057,0
21,9.300000000000065,0
22,9.775000000000071,0
23,9.825000000000072,0
24,9.850000000000072,0
25,10.42500000000008,0
26,10.750000000000085,0
27,10.875000000000087,0
28,11.600000000000097,0
29,11.650000000000098,0
30,11.7500000000001,0
31,12.300000000000107,0
32,12.375000000000108,0
33,12.375000000000108,0
34,13.025000000000118,0
35,13.425000000000123,0
36,13.550000000000125,0
37,13.800000000000129,0
38,14.150000000000134,0
39,14.175000000000134,0
40,14.225000000000135,0
41,14.950000000000145,0
42,15.175000000000148,0
43,15.30000000000015,0
44,15.875000000000158,0
45,16.02500000000016,0
46,16.15000000000015,0
47,16.72500000000012,0
48,16.750000000000117,0
49,16.975000000000104,0
50,17.525000000000073,0
51,17.75000000000006,0
52,17.975000000000048,0
53,18.150000000000038,0
54,18.175000000000036,0
55,18.62500000000001,0
56,19.124999999999982,0
57,19.249999999999975,0
58,19.424999999999965,0
59,19.899999999999938,0
60,19.999999999999932,0
61,20.124999999999925,0
62,20.524999999999903,0
63,20.824999999999886,0
64,20.92499999999988,0
65,21.549999999999844,0
66,21.79999999999983,0
67,22.049999999999816,0
68,22.17499999999981,0
69,22.52499999999979,0
70,22.999999999999762,0
71,23.39999999999974,0
72,23.474999999999735,0
73,23.849999999999714,0
74,24.44999999999968,0
75,24.44999999999968,0
76,25.17499999999964,0
77,25.199999999999637,0
78,25.249999999999634,0
79,25.8499999999996,0
80,25.99999999999959,0
81,26.624999999999556,0
82,26.69999999999955,0
83,26.74999999999955,0
84,27.324999999999516,0
85,27.44999999999951,0
86,27.674999999999496,0
87,27.699999999999495,0
88,28.249999999999464,0
89,28.524999999999448,0
90,29.099999999999415,0
91,29.124999999999414,0
92,29.649999999999384,0
93,29.674999999999383,0
94,29.87499999999937,0
95,30.39999999999934,0
96,30.62499999999933,0
97,31.27499999999929,0
98,31.374999999999286,0
99,31.79999999999926,0
100,31.82499999999926,0
101,32.07499999999925,0
102,32.349999999999234,0
103,32.8999999999992,0
104,33.024999999999196,0
105,33.14999999999919,0
106,33.14999999999919,0
107,33.99999999999914,0
108,34.074999999999136,0
109,34.19999999999913,0
110,34.624999999999105,0
111,34.949999999999086,0
112,34.99999999999908,0
113,35.62499999999905,0
114,35.874999999999034,0
115,36.474999999999,0
116,36.77499999999898,0
117,37.14999999999896,0
118,37.34999999999895,0
119,37.449999999998944,0
120,37.974999999998914,0
121,38.07499999999891,0
122,38.324999999998894,0
123,38.74999999999887,0
124,38.92499999999886,0
125,39.39999999999883,0
126,39.62499999999882,0
127,39.67499999999882,0
128,39.899999999998805,0
129,40.14999999999879,0
130,40.599999999998765,0
131,40.774999999998755,0
132,41.39999999999872,0
133,41.54999999999871,0
134,41.54999999999871,0
135,42.349999999998666,0
136,42.67499999999865,0
137,42.99999999999863,0
138,43.074999999998624,0
139,43.14999999999862,0
140,43.72499999999859,0
141,43.89999999999858,0
142,44.34999999999855,0
143,44.57499999999854,0
144,44.74999999999853,0
145,45.2499999999985,0
146,45.47499999999849,0
147,45.59999999999848,0
148,45.67499999999848,0
149,46.27499999999844,0
150,46.54999999999843,0
151,46.87499999999841,0
152,47.14999999999839,0
153,47.474999999998374,0
154,47.77499999999836,0
155,47.89999999999835,0
156,48.07499999999834,0
157,48.7499999999983,0
158,48.92499999999829,0
159,49.29999999999827,0
160,49.47499999999826,0
161,49.82499999999824,0
162,50.24999999999822,0
163,50.449999999998205,0
164,50.84999999999818,0
165,51.39999999999815,0
166,51.42499999999815,0
167,52.199999999998106,0
168,52.224999999998104,0
169,52.2749999999981,0
170,52.99999999999806,0
171,53.02499999999806,0
172,53.64999999999802,0
173,53.67499999999802,0
174,53.72499999999802,0
175,54.39999999999798,0
176,54.42499999999798,0
177,55.14999999999794,0
178,55.224999999997934,0
179,55.27499999999793,0
180,55.94999999999789,0
181,56.04999999999789,0
182,56.64999999999785,0
183,56.69999999999785,0
184,57.324999999997814,0
185,57.324999999997814,0
186,58.024999999997775,0
187,58.04999999999777,0
188,58.77499999999773,0
189,58.92499999999772,0
190,59.3249999999977,0
191,59.599999999997685,0
192,60.27499999999765,0
193,60.37499999999764,0
194,60.54999999999763,0
195,61.39999999999758,0
196,61.62499999999757,0
197,62.224999999997536,0
198,62.47499999999752,0
199,63.14999999999748,0
0,1.1,1
1,1.5499999999999985,1
2,2.199999999999996,1
3,2.3249999999999957,1
4,3.1999999999999926,1
5,3.324999999999992,1
6,4.02499999999999,1
7,4.099999999999991,1
8,4.374999999999995,1
9,4.800000000000001,1
10,5.3500000000000085,1
11,5.45000000000001,1
12,6.1250000000000195,1
13,6.300000000000022,1
14,6.650000000000027,1
15,6.85000000000003,1
16,7.425000000000038,1
17,7.425000000000038,1
18,7.875000000000044,1
19,8.25000000000005,1
20,8.32500000000005,1
21,8.475000000000053,1
22,9.325000000000065,1
23,9.375000000000066,1
24,9.475000000000067,1
25,10.050000000000075,1
26,10.32500000000008,1
27,10.500000000000082,1
28,10.675000000000084,1
29,11.300000000000093,1
30,11.400000000000095,1
31,11.7750000000001,1
32,11.900000000000102,1
33,12.350000000000108,1
34,12.50000000000011,1
35,12.875000000000115,1
36,13.17500000000012,1
37,13.400000000000123,1
38,13.500000000000124,1
39,13.95000000000013,1
40,14.125000000000133,1
41,14.57500000000014,1
42,15.100000000000147,1
43,15.200000000000149,1
44,15.675000000000155,1
45,15.725000000000156,1
46,16.300000000000143,1
47,16.475000000000133,1
48,16.70000000000012,1
49,17.0500000000001,1
50,17.150000000000095,1
51,17.300000000000086,1
52,17.900000000000052,1
53,18.000000000000046,1
54,18.025000000000045,1
55,18.62500000000001,1
56,18.825,1
57,19.49999999999996,1
58,19.549999999999958,1
59,19.724999999999948,1
60,20.299999999999915,1
61,20.39999999999991,1
62,20.524999999999903,1
63,21.174999999999866,1
64,21.224999999999863,1
65,21.27499999999986,1
66,21.724999999999834,1
67,22.274999999999803,1
68,22.274999999999803,1
69,22.799999999999773,1
70,22.84999999999977,1
71,23.37499999999974,1
72,23.72499999999972,1
73,23.974999999999707,1
74,24.199999999999694,1
75,24.699999999999665,1
76,24.849999999999657,1
77,25.14999999999964,1
78,25.47499999999962,1
79,25.67499999999961,1
80,25.99999999999959,1
81,26.249999999999577,1
82,26.449999999999566,1
83,26.624999999999556,1
