t,r,v
0.0000,1,-0.7142857142857143
0.0200,0.9578831880937475,-3.46420152173027
0.0400,0.863247522477981,-5.942434602903046
0.0600,0.7228781993528071,-8.01769143971681
0.0800,0.5459334218179027,-9.584970315159909
0.1000,0.3433640906444761,-10.570707657966135
0.1200,0.1272493303955316,-10.936016972821387
0.1400,-0.08991252370066999,-10.677892316742847
0.1600,-0.2959164716929804,-9.828366179796811
0.1800,-0.47952687819514295,-8.451726603389739
0.2000,-0.631080110988238,-6.640004228283681
0.2200,-0.7429820683017937,-4.507031028889456
0.2400,-0.8100756608411246,-2.181444071336754
0.2600,-0.8298613081286564,0.20094373419444433
0.2800,-0.8025622268640574,2.504960311671071
0.3000,-0.7310352225754837,4.60363499472127
0.3200,-0.6205363378905806,6.385086318091836
0.3400,-0.47835858498137185,7.758369801042736
0.3600,-0.3133656762801346,8.657987151934488
0.3800,-0.135450824985382,9.046841782580717
0.4000,0.04504693090894367,8.917518689990121
0.4200,0.21793495994868897,8.29186414475459
0.4400,0.37373437859759157,7.2189366410450155
0.4600,0.5041913948881754,5.771489868166615
0.4800,0.6027055623887413,4.041226239901349
0.5000,0.6646532741804473,2.1331217295134737
0.5200,0.6875913104553121,0.15916635573894694
0.5400,0.6713324060772744,-1.7681122717324664
0.5600,0.6178922061268185,-3.5419731245174786
0.5800,0.5313142060772613,-5.067283360655494
0.6000,0.4173859284173553,-6.265525121395838
0.6200,0.2832653122618763,-7.078729756863695
0.6400,0.13704079202116823,-7.472149113563653
0.6600,-0.012748402230014375,-7.4355496873018545
0.6800,-0.15760370716186717,-6.983095872816869
0.7000,-0.28954256547352525,-6.151868596993266
0.7200,-0.4015314455810717,-4.999140828038716
0.7400,-0.48785345583013573,-3.5985977285350206
0.7600,-0.5443917846728972,-2.035743101521109
0.7800,-0.5688154462498601,-0.40277259391091663
0.8000,-0.5606596690464526,1.2067838812713787
0.8200,-0.5212993881151189,2.7033436227322087
0.8400,-0.4538203380266135,4.006182548334154
0.8600,-0.3627978582113182,5.04771159047346
0.8800,-0.2539984117787952,5.776896203327406
0.9000,-0.13402272955154615,6.161651398224249
0.9200,-0.009912231229878856,6.1901068822987995
0.9400,0.1112581753444698,5.870703194471738
0.9600,0.2227777028137434,5.231146376189361
0.9800,0.3186656784745601,4.316311936675723
1.0000,0.39398629446734235,3.1852452253952817
1.0200,0.4450959104371179,1.9074518419702986
1.0400,0.46981094307263216,0.5587060649109091
1.0600,0.4674891663832776,-0.7833741180635072
1.0800,0.4390223034619756,-2.0437307113620444
1.1000,0.3867428237517932,-3.154001843440804
1.1200,0.3142525879521531,-4.056165967499789
1.1400,0.22618514917328716,-4.705503669647386
1.1600,0.12791690599537078,-5.072730247333639
1.1800,0.025244742765760882,-5.145202848849208
1.2000,-0.07595082532539188,-4.927160560750352
1.2200,-0.17003770782389557,-4.439011221423549
1.2400,-0.2519410132324233,-3.7157317976451325
1.2600,-0.31741188575086143,-2.8044969778146904
1.2800,-0.3632424567234857,-1.7616906772701486
1.3000,-0.3874163770102061,-0.6494853917318215
1.3200,-0.3891883049580039,0.46780664494952096
1.3400,-0.36908989447623775,1.5273994932890258
1.3600,-0.3288640177661198,2.4715107050768275
1.3800,-0.27133293202954745,3.2504600493752998
1.4000,-0.20020964219743376,3.8252266933030192
1.4200,-0.11986463591503838,4.169336719186429
1.4400,-0.03506232617375816,4.269994014086961
1.4600,0.04931716842139994,4.128412438704716
1.4800,0.12855489394382588,3.7593531497723087
1.5000,0.19835309685683633,3.1899154051966425
1.5200,0.25506432003276686,2.4576696745237534
1.5400,0.2958775859485479,1.608256250067424
1.5600,0.31895243714743354,0.6925990514942921
1.5800,0.32349478749747435,-0.23609832499974537
1.6000,0.3097719705543042,-1.12539975835197
1.6200,0.2790678539618101,-1.9265548951446876
1.6400,0.23358222463689637,-2.597128594094518
1.6600,0.17628165559116446,-3.1032022347731645
1.6800,0.11071158238853727,-3.421035530225419
1.7000,0.04078121806819464,-3.538110867511778
1.7200,-0.029465869336129925,-3.45351901606417
1.7400,-0.09608224992022978,-3.1776831303097315
1.7600,-0.15543524257589775,-2.7314551591196046
1.7800,-0.2044017211582705,-2.144653000742534
1.8000,-0.2405288645572616,-1.454136172426503
1.8200,-0.26215279724060536,-0.7015408839230427
